code;problem_1;problem_2;problem_3;problem_4;problems
;;;;;___
P0C46 ;Hybrid Battery Pack Coolant Temperature Sensor Circuit Intermittent/Erratic;;;;Hybrid Battery Pack Coolant Temperature Sensor Circuit Intermittent/Erratic___
;;;;;___
P0C47 ;Hybrid Battery Pack Coolant Pump Control Circuit/Open;;;;Hybrid Battery Pack Coolant Pump Control Circuit/Open___
;;;;;___
P0C48 ;Hybrid Battery Pack Coolant Pump Control Circuit Low;;;;Hybrid Battery Pack Coolant Pump Control Circuit Low___
;;;;;___
P0C49 ;Hybrid Battery Pack Coolant Pump Control Circuit High;;;;Hybrid Battery Pack Coolant Pump Control Circuit High___
;;;;;___
P0C4A ;Hybrid Battery Pack Coolant Pump Control Performance;;;;Hybrid Battery Pack Coolant Pump Control Performance___
;;;;;___
P0C4B ;Hybrid Battery Pack Coolant Pump Supply Voltage Circuit/Open;;;;Hybrid Battery Pack Coolant Pump Supply Voltage Circuit/Open___
;;;;;___
P0C4C ;Hybrid Battery Pack Coolant Pump Supply Voltage Circuit Low;;;;Hybrid Battery Pack Coolant Pump Supply Voltage Circuit Low___
;;;;;___
P0C4D ;Hybrid Battery Pack Coolant Pump Supply Voltage Circuit High;;;;Hybrid Battery Pack Coolant Pump Supply Voltage Circuit High___
;;;;;___
P0C4E ;"Drive Motor ""A"" Position Exceeded Learning Limit";;;;"Drive Motor ""A"" Position Exceeded Learning Limit___"
;;;;;___
P0C4F ;"Drive Motor ""B"" Position Exceeded Learning Limit";;;;"Drive Motor ""B"" Position Exceeded Learning Limit___"
;;;;;___
P0C50 ;"Drive Motor ""A"" Position Sensor Circuit ""A""";;;;"Drive Motor ""A"" Position Sensor Circuit ""A""___"
;;;;;___
P0C51 ;"Drive Motor ""A"" Position Sensor Circuit ""A"" Range/Performance";;;;"Drive Motor ""A"" Position Sensor Circuit ""A"" Range/Performance___"
;;;;;___
P0C52 ;"Drive Motor ""A"" Position Sensor Circuit ""A"" Low";;;;"Drive Motor ""A"" Position Sensor Circuit ""A"" Low___"
;;;;;___
P0C53 ;"Drive Motor ""A"" Position Sensor Circuit ""A"" High";;;;"Drive Motor ""A"" Position Sensor Circuit ""A"" High___"
;;;;;___
P0C54 ;"Drive Motor ""A"" Position Sensor Circuit ""A"" Intermittent/Erratic";;;;"Drive Motor ""A"" Position Sensor Circuit ""A"" Intermittent/Erratic___"
;;;;;___
P0C55 ;"Drive Motor ""B"" Position Sensor Circuit ""A""";;;;"Drive Motor ""B"" Position Sensor Circuit ""A""___"
;;;;;___
P0C56 ;"Drive Motor ""B"" Position Sensor Circuit ""A"" Range/Performance";;;;"Drive Motor ""B"" Position Sensor Circuit ""A"" Range/Performance___"
;;;;;___
P0C57 ;"Drive Motor ""B"" Position Sensor Circuit ""A"" Low";;;;"Drive Motor ""B"" Position Sensor Circuit ""A"" Low___"
;;;;;___
P0C58 ;"Drive Motor ""B"" Position Sensor Circuit ""A"" High";;;;"Drive Motor ""B"" Position Sensor Circuit ""A"" High___"
;;;;;___
P0C59 ;"Drive Motor ""B"" Position Sensor Circuit ""A"" Intermittent/Erratic";;;;"Drive Motor ""B"" Position Sensor Circuit ""A"" Intermittent/Erratic___"
;;;;;___
P0C5A ;"Drive Motor ""A"" Position Sensor Circuit ""B""";;;;"Drive Motor ""A"" Position Sensor Circuit ""B""___"
;;;;;___
P0C5B ;"Drive Motor ""A"" Position Sensor Circuit ""B"" Range/Performance";;;;"Drive Motor ""A"" Position Sensor Circuit ""B"" Range/Performance___"
;;;;;___
P0C5C ;"Drive Motor ""A"" Position Sensor Circuit ""B"" Low";;;;"Drive Motor ""A"" Position Sensor Circuit ""B"" Low___"
;;;;;___
P0C5D ;"Drive Motor ""A"" Position Sensor Circuit ""B"" High";;;;"Drive Motor ""A"" Position Sensor Circuit ""B"" High___"
;;;;;___
P0C5E ;"Drive Motor ""A"" Position Sensor Circuit ""B"" Intermittent/Erratic";;;;"Drive Motor ""A"" Position Sensor Circuit ""B"" Intermittent/Erratic___"
;;;;;___
P0C5F ;"Drive Motor ""B"" Position Sensor Circuit ""B""";;;;"Drive Motor ""B"" Position Sensor Circuit ""B""___"
;;;;;___
P0C60 ;"Drive Motor ""B"" Position Sensor Circuit ""B"" Range/Performance";;;;"Drive Motor ""B"" Position Sensor Circuit ""B"" Range/Performance___"
;;;;;___
P0C61 ;"Drive Motor ""B"" Position Sensor Circuit ""B"" Low";;;;"Drive Motor ""B"" Position Sensor Circuit ""B"" Low___"
;;;;;___
P0C62 ;"Drive Motor ""B"" Position Sensor Circuit ""B"" High";;;;"Drive Motor ""B"" Position Sensor Circuit ""B"" High___"
;;;;;___
P0C63 ;"Drive Motor ""B"" Position Sensor Circuit ""B"" Intermittent/Erratic";;;;"Drive Motor ""B"" Position Sensor Circuit ""B"" Intermittent/Erratic___"
;;;;;___
P0C64 ;"Generator Position Sensor Circuit ""A""";;;;"Generator Position Sensor Circuit ""A""___"
;;;;;___
P0C65 ;"Generator Position Sensor Circuit ""A"" Range/Performance";;;;"Generator Position Sensor Circuit ""A"" Range/Performance___"
;;;;;___
P0C66 ;"Generator Position Sensor Circuit ""A"" Low";;;;"Generator Position Sensor Circuit ""A"" Low___"
;;;;;___
P0C67 ;"Generator Position Sensor Circuit ""A"" High";;;;"Generator Position Sensor Circuit ""A"" High___"
;;;;;___
P0C68 ;"Generator Position Sensor Circuit ""A"" Intermittent/Erratic";;;;"Generator Position Sensor Circuit ""A"" Intermittent/Erratic___"
;;;;;___
P0C69 ;"Generator Position Sensor Circuit ""B""";;;;"Generator Position Sensor Circuit ""B""___"
;;;;;___
P0C6A ;"Generator Position Sensor Circuit ""B"" Range/Performance";;;;"Generator Position Sensor Circuit ""B"" Range/Performance___"
;;;;;___
P0C6B ;"Generator Position Sensor Circuit ""B"" Low";;;;"Generator Position Sensor Circuit ""B"" Low___"
;;;;;___
P0C6C ;"Generator Position Sensor Circuit ""B"" High";;;;"Generator Position Sensor Circuit ""B"" High___"
;;;;;___
P0C6D ;"Generator Position Sensor Circuit ""B"" Intermittent/Erratic";;;;"Generator Position Sensor Circuit ""B"" Intermittent/Erratic___"
;;;;;___
P0C6E ;"Hybrid Battery Temperature Sensor ""A""/""B"" Correlation";;;;"Hybrid Battery Temperature Sensor ""A""/""B"" Correlation___"
;;;;;___
P0C6F ;"Hybrid Battery Temperature Sensor ""B""/""C"" Correlation";;;;"Hybrid Battery Temperature Sensor ""B""/""C"" Correlation___"
;;;;;___
P0C70 ;"Hybrid Battery Temperature Sensor ""C""/""D"" Correlation";;;;"Hybrid Battery Temperature Sensor ""C""/""D"" Correlation___"
;;;;;___
P0C71 ;"Hybrid Battery Temperature Sensor ""D""/""E"" Correlation";;;;"Hybrid Battery Temperature Sensor ""D""/""E"" Correlation___"
;;;;;___
P0C72 ;"Hybrid Battery Temperature Sensor ""E""/""F"" Correlation";;;;"Hybrid Battery Temperature Sensor ""E""/""F"" Correlation___"
;;;;;___
P0C73 ;"Motor Electronics Coolant Pump ""A"" Control Performance";;;;"Motor Electronics Coolant Pump ""A"" Control Performance___"
;;;;;___
P0C74 ;"Motor Electronics Coolant Pump ""B"" Control Performance";;;;"Motor Electronics Coolant Pump ""B"" Control Performance___"
;;;;;___
P0C75 ;Hybrid Battery System Discharge Time Too Short;;;;Hybrid Battery System Discharge Time Too Short___
;;;;;___
P0C76 ;Hybrid Battery System Discharge Time Too Long;;;;Hybrid Battery System Discharge Time Too Long___
;;;;;___
P0C77 ;Hybrid Battery System Precharge Time Too Short;;;;Hybrid Battery System Precharge Time Too Short___
;;;;;___
P0C78 ;Hybrid Battery System Precharge Time Too Long;;;;Hybrid Battery System Precharge Time Too Long___
;;;;;___
P0C79 ;"Drive Motor ""A"" Inverter Voltage Too High";;;;"Drive Motor ""A"" Inverter Voltage Too High___"
;;;;;___
P0C7A ;"Drive Motor ""B"" Inverter Voltage Too High";;;;"Drive Motor ""B"" Inverter Voltage Too High___"
;;;;;___
P0C7B ;Generator Inverter Voltage Too High;;;;Generator Inverter Voltage Too High___
;;;;;___
P0C7C ;"Hybrid Battery Temperature Sensor ""G"" Circuit";;;;"Hybrid Battery Temperature Sensor ""G"" Circuit___"
;;;;;___
P0C7D ;"Hybrid Battery Temperature Sensor ""G"" Range/Performance";;;;"Hybrid Battery Temperature Sensor ""G"" Range/Performance___"
;;;;;___
P0C7E ;"Hybrid Battery Temperature Sensor ""G"" Circuit Low";;;;"Hybrid Battery Temperature Sensor ""G"" Circuit Low___"
;;;;;___
P0C7F ;"Hybrid Battery Temperature Sensor ""G"" Circuit High";;;;"Hybrid Battery Temperature Sensor ""G"" Circuit High___"
;;;;;___
P0C80 ;"Hybrid Battery Temperature Sensor ""G"" Circuit Intermittent/Erratic";;;;"Hybrid Battery Temperature Sensor ""G"" Circuit Intermittent/Erratic___"
;;;;;___
P0C81 ;"Hybrid Battery Temperature Sensor ""H"" Circuit";;;;"Hybrid Battery Temperature Sensor ""H"" Circuit___"
;;;;;___
P0C82 ;"Hybrid Battery Temperature Sensor ""H"" Range/Performance";;;;"Hybrid Battery Temperature Sensor ""H"" Range/Performance___"
;;;;;___
P0C83 ;"Hybrid Battery Temperature Sensor ""H"" Circuit Low";;;;"Hybrid Battery Temperature Sensor ""H"" Circuit Low___"
;;;;;___
P0C84 ;"Hybrid Battery Temperature Sensor ""H"" Circuit High";;;;"Hybrid Battery Temperature Sensor ""H"" Circuit High___"
;;;;;___
P0C85 ;"Hybrid Battery Temperature Sensor ""H"" Circuit Intermittent/Erratic";;;;"Hybrid Battery Temperature Sensor ""H"" Circuit Intermittent/Erratic___"
;;;;;___
P0C86 ;"Hybrid Battery Temperature Sensor ""F""/""G"" Correlation";;;;"Hybrid Battery Temperature Sensor ""F""/""G"" Correlation___"
;;;;;___
P0C87 ;"Hybrid Battery Temperature Sensor ""G""/""H"" Correlation";;;;"Hybrid Battery Temperature Sensor ""G""/""H"" Correlation___"
;;;;;___
P0C88 ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P0CFF ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P0D00 ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P0E00 ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P0F00 ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
P2000 through P2099;;;;;___
;;;;;___
P2000 ;NOx Adsorber Efficiency Below Threshold Bank 1;;;;NOx Adsorber Efficiency Below Threshold Bank 1___
;;;;;___
P2001 ;NOx Adsorber Efficiency Below Threshold Bank 2;;;;NOx Adsorber Efficiency Below Threshold Bank 2___
;;;;;___
P2002 ;Diesel Particulate Filter Efficiency Below Threshold Bank 1;;;;Diesel Particulate Filter Efficiency Below Threshold Bank 1___
;;;;;___
P2003 ;Diesel Particulate Filter Efficiency Below Threshold Bank 2;;;;Diesel Particulate Filter Efficiency Below Threshold Bank 2___
;;;;;___
P2004 ;Intake Manifold Runner Control Stuck Open Bank 1;;;;Intake Manifold Runner Control Stuck Open Bank 1___
;;;;;___
P2005 ;Intake Manifold Runner Control Stuck Open Bank 2;;;;Intake Manifold Runner Control Stuck Open Bank 2___
;;;;;___
P2006 ;Intake Manifold Runner Control Stuck Closed Bank 1;;;;Intake Manifold Runner Control Stuck Closed Bank 1___
;;;;;___
P2007 ;Intake Manifold Runner Control Stuck Closed Bank 2;;;;Intake Manifold Runner Control Stuck Closed Bank 2___
;;;;;___
P2008 ;Intake Manifold Runner Control Circuit/Open Bank 1;;;;Intake Manifold Runner Control Circuit/Open Bank 1___
;;;;;___
P2009 ;Intake Manifold Runner Control Circuit Low Bank 1;;;;Intake Manifold Runner Control Circuit Low Bank 1___
;;;;;___
P200A ;Intake Manifold Runner Performance Bank 1;;;;Intake Manifold Runner Performance Bank 1___
;;;;;___
P200B ;Intake Manifold Runner Performance Bank 2;;;;Intake Manifold Runner Performance Bank 2___
;;;;;___
P200C ;Diesel Particulate Filter Over Temperature Bank 1;;;;Diesel Particulate Filter Over Temperature Bank 1___
;;;;;___
P200D ;Diesel Particulate Filter Over Temperature Bank 2;;;;Diesel Particulate Filter Over Temperature Bank 2___
;;;;;___
P200E ;Catalyst System Over Temperature Bank 1;;;;Catalyst System Over Temperature Bank 1___
;;;;;___
P200F ;Catalyst System Over Temperature Bank 2;;;;Catalyst System Over Temperature Bank 2___
;;;;;___
P2010 ;Intake Manifold Runner Control Circuit High Bank 1;;;;Intake Manifold Runner Control Circuit High Bank 1___
;;;;;___
P2011 ;Intake Manifold Runner Control Circuit/Open Bank 2;;;;Intake Manifold Runner Control Circuit/Open Bank 2___
;;;;;___
P2012 ;Intake Manifold Runner Control Circuit Low Bank 2;;;;Intake Manifold Runner Control Circuit Low Bank 2___
;;;;;___
P2013 ;Intake Manifold Runner Control Circuit High Bank 2;;;;Intake Manifold Runner Control Circuit High Bank 2___
;;;;;___
P2014 ;Intake Manifold Runner Position Sensor/Switch Circuit Bank 1;;;;Intake Manifold Runner Position Sensor/Switch Circuit Bank 1___
;;;;;___
P2015 ;Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance Bank 1;;;;Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance Bank 1___
;;;;;___
P2016 ;Intake Manifold Runner Position Sensor/Switch Circuit Low Bank 1;;;;Intake Manifold Runner Position Sensor/Switch Circuit Low Bank 1___
;;;;;___
P2017 ;Intake Manifold Runner Position Sensor/Switch Circuit High Bank 1;;;;Intake Manifold Runner Position Sensor/Switch Circuit High Bank 1___
;;;;;___
P2018 ;Intake Manifold Runner Position Sensor/Switch Circuit Intermittent Bank 1;;;;Intake Manifold Runner Position Sensor/Switch Circuit Intermittent Bank 1___
;;;;;___
P2019 ;Intake Manifold Runner Position Sensor/Switch Circuit Bank 2;;;;Intake Manifold Runner Position Sensor/Switch Circuit Bank 2___
;;;;;___
P201A ;Reductant Injection Valve Circuit Range/Performance Bank 2 Unit 1;;;;Reductant Injection Valve Circuit Range/Performance Bank 2 Unit 1___
;;;;;___
P201B ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P201C ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P201D ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P201E ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P201F ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P2020 ;Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance Bank 2;;;;Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance Bank 2___
;;;;;___
P2021 ;Intake Manifold Runner Position Sensor/Switch Circuit Low Bank 2;;;;Intake Manifold Runner Position Sensor/Switch Circuit Low Bank 2___
;;;;;___
P2022 ;Intake Manifold Runner Position Sensor/Switch Circuit High Bank 2;;;;Intake Manifold Runner Position Sensor/Switch Circuit High Bank 2___
;;;;;___
P2023 ;Intake Manifold Runner Position Sensor/Switch Circuit Intermittent Bank 2;;;;Intake Manifold Runner Position Sensor/Switch Circuit Intermittent Bank 2___
;;;;;___
P2024 ;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit;;;;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit___
;;;;;___
P2025 ;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Performance;;;;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Performance___
;;;;;___
P2026 ;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Low Voltage;;;;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Low Voltage___
;;;;;___
P2027 ;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit High Voltage;;;;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit High Voltage___
;;;;;___
P2028 ;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Intermittent;;;;Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Intermittent___
;;;;;___
P2029 ;Fuel Fired Heater Disabled;;;;Fuel Fired Heater Disabled___
;;;;;___
P202A ;Reductant Tank Heater Control Circuit/Open;;;;Reductant Tank Heater Control Circuit/Open___
;;;;;___
P202B ;Reductant Tank Heater Control Circuit Low;;;;Reductant Tank Heater Control Circuit Low___
;;;;;___
P202C ;Reductant Tank Heater Control Circuit High;;;;Reductant Tank Heater Control Circuit High___
;;;;;___
P202D ;Reductant Leakage;;;;Reductant Leakage___
;;;;;___
P202E ;Reductant Injection Valve Circuit Range/Performance Bank 1 Unit 1;;;;Reductant Injection Valve Circuit Range/Performance Bank 1 Unit 1___
;;;;;___
P202F ;Reductant/Regeneration Supply Control Circuit Range/Performance;;;;Reductant/Regeneration Supply Control Circuit Range/Performance___
;;;;;___
P2030 ;Fuel Fired Heater Performance;;;;Fuel Fired Heater Performance___
;;;;;___
P2031 ;Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 2;;;;Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 2___
;;;;;___
P2032 ;Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 2;;;;Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 2___
;;;;;___
P2033 ;Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 2;;;;Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 2___
;;;;;___
P2034 ;Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 2;;;;Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 2___
;;;;;___
P2035 ;Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 2;;;;Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 2___
;;;;;___
P2036 ;Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 2;;;;Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 2___
;;;;;___
P2037 ;"Reductant Injection Air Pressure Sensor ""A"" Circuit";;;;"Reductant Injection Air Pressure Sensor ""A"" Circuit___"
;;;;;___
P2038 ;"Reductant Injection Air Pressure Sensor ""A"" Circuit Range/Performance";;;;"Reductant Injection Air Pressure Sensor ""A"" Circuit Range/Performance___"
;;;;;___
P2039 ;"Reductant Injection Air Pressure Sensor ""A"" Circuit Low";;;;"Reductant Injection Air Pressure Sensor ""A"" Circuit Low___"
;;;;;___
P203A ;Reductant Level Sensor Circuit;;;;Reductant Level Sensor Circuit___
;;;;;___
P203B ;Reductant Level Sensor Circuit Range/Performance;;;;Reductant Level Sensor Circuit Range/Performance___
;;;;;___
P203C ;Reductant Level Sensor Circuit Low;;;;Reductant Level Sensor Circuit Low___
;;;;;___
P203D ;Reductant Level Sensor Circuit High;;;;Reductant Level Sensor Circuit High___
;;;;;___
P203E ;Reductant Level Sensor Circuit Intermittent/Erratic;;;;Reductant Level Sensor Circuit Intermittent/Erratic___
;;;;;___
P203F ;Reductant Level Too Low;;;;Reductant Level Too Low___
;;;;;___
P2040 ;"Reductant Injection Air Pressure Sensor ""A"" Circuit High";;;;"Reductant Injection Air Pressure Sensor ""A"" Circuit High___"
;;;;;___
P2041 ;"Reductant Injection Air Pressure Sensor ""A"" Circuit Intermittent";;;;"Reductant Injection Air Pressure Sensor ""A"" Circuit Intermittent___"
;;;;;___
P2042 ;Reductant Temperature Sensor Circuit;;;;Reductant Temperature Sensor Circuit___
;;;;;___
P2043 ;Reductant Temperature Sensor Circuit Range/Performance;;;;Reductant Temperature Sensor Circuit Range/Performance___
;;;;;___
P2044 ;Reductant Temperature Sensor Circuit Low;;;;Reductant Temperature Sensor Circuit Low___
;;;;;___
P2045 ;Reductant Temperature Sensor Circuit High;;;;Reductant Temperature Sensor Circuit High___
;;;;;___
P2046 ;Reductant Temperature Sensor Circuit Intermittent;;;;Reductant Temperature Sensor Circuit Intermittent___
;;;;;___
P2047 ;Reductant Injection Valve Circuit/Open Bank 1 Unit 1;;;;Reductant Injection Valve Circuit/Open Bank 1 Unit 1___
;;;;;___
P2048 ;Reductant Injection Valve Circuit Low Bank 1 Unit 1;;;;Reductant Injection Valve Circuit Low Bank 1 Unit 1___
;;;;;___
P2049 ;Reductant Injection Valve Circuit High Bank 1 Unit 1;;;;Reductant Injection Valve Circuit High Bank 1 Unit 1___
;;;;;___
P204A ;Reductant Pressure Sensor Circuit;;;;Reductant Pressure Sensor Circuit___
;;;;;___
P204B ;Reductant Pressure Sensor Circuit Range/Performance;;;;Reductant Pressure Sensor Circuit Range/Performance___
;;;;;___
P204C ;Reductant Pressure Sensor Circuit Low;;;;Reductant Pressure Sensor Circuit Low___
;;;;;___
P204D ;Reductant Pressure Sensor Circuit High;;;;Reductant Pressure Sensor Circuit High___
;;;;;___
P204E ;Reductant Pressure Sensor Circuit Intermittent/Erratic;;;;Reductant Pressure Sensor Circuit Intermittent/Erratic___
;;;;;___
P204F ;Reductant System Performance Bank 1;;;;Reductant System Performance Bank 1___
;;;;;___
P2050 ;Reductant Injection Valve Circuit/Open Bank 2 Unit 1;;;;Reductant Injection Valve Circuit/Open Bank 2 Unit 1___
;;;;;___
P2051 ;Reductant Injection Valve Circuit Low Bank 2 Unit 1;;;;Reductant Injection Valve Circuit Low Bank 2 Unit 1___
;;;;;___
P2052 ;Reductant Injection Valve Circuit High Bank 2 Unit 1;;;;Reductant Injection Valve Circuit High Bank 2 Unit 1___
;;;;;___
P2053 ;Reductant Injection Valve Circuit/Open Bank 1 Unit 2;;;;Reductant Injection Valve Circuit/Open Bank 1 Unit 2___
;;;;;___
P2054 ;Reductant Injection Valve Circuit Low Bank 1 Unit 2;;;;Reductant Injection Valve Circuit Low Bank 1 Unit 2___
;;;;;___
P2055 ;Reductant Injection Valve Circuit High Bank 1 Unit 2;;;;Reductant Injection Valve Circuit High Bank 1 Unit 2___
;;;;;___
P2056 ;Reductant Injection Valve Circuit/Open Bank 2 Unit 2;;;;Reductant Injection Valve Circuit/Open Bank 2 Unit 2___
;;;;;___
P2057 ;Reductant Injection Valve Circuit Low Bank 2 Unit 2;;;;Reductant Injection Valve Circuit Low Bank 2 Unit 2___
;;;;;___
P2058 ;Reductant Injection Valve Circuit High Bank 2 Unit 2;;;;Reductant Injection Valve Circuit High Bank 2 Unit 2___
;;;;;___
P2059 ;Reductant Injection Air Pump Control Circuit/Open;;;;Reductant Injection Air Pump Control Circuit/Open___
;;;;;___
P205A ;Reductant Tank Temperature Sensor Circuit;;;;Reductant Tank Temperature Sensor Circuit___
;;;;;___
P205B ;Reductant Tank Temperature Sensor Circuit Range/Performance;;;;Reductant Tank Temperature Sensor Circuit Range/Performance___
;;;;;___
P205C ;Reductant Tank Temperature Sensor Circuit Low;;;;Reductant Tank Temperature Sensor Circuit Low___
;;;;;___
P205D ;Reductant Tank Temperature Sensor Circuit High;;;;Reductant Tank Temperature Sensor Circuit High___
;;;;;___
P205E ;Reductant Tank Temperature Sensor Circuit Intermittent/Erratic;;;;Reductant Tank Temperature Sensor Circuit Intermittent/Erratic___
;;;;;___
P205F ;Reductant System Performance Bank 2;;;;Reductant System Performance Bank 2___
;;;;;___
P2060 ;Reductant Injection Air Pump Control Circuit Low;;;;Reductant Injection Air Pump Control Circuit Low___
;;;;;___
P2061 ;Reductant Injection Air Pump Control Circuit High;;;;Reductant Injection Air Pump Control Circuit High___
;;;;;___
P2062 ;Reductant/Regeneration Supply Control Circuit/Open;;;;Reductant/Regeneration Supply Control Circuit/Open___
;;;;;___
P2063 ;Reductant/Regeneration Supply Control Circuit Low;;;;Reductant/Regeneration Supply Control Circuit Low___
;;;;;___
P2064 ;Reductant/Regeneration Supply Control Circuit High;;;;Reductant/Regeneration Supply Control Circuit High___
;;;;;___
P2065 ;"Fuel Level Sensor ""B"" Circuit";;;;"Fuel Level Sensor ""B"" Circuit___"
;;;;;___
P2066 ;"Fuel Level Sensor ""B"" Circuit Performance";;;;"Fuel Level Sensor ""B"" Circuit Performance___"
;;;;;___
P2067 ;"Fuel Level Sensor ""B"" Circuit Low";;;;"Fuel Level Sensor ""B"" Circuit Low___"
;;;;;___
P2068 ;"Fuel Level Sensor ""B"" Circuit High";;;;"Fuel Level Sensor ""B"" Circuit High___"
;;;;;___
P2069 ;"Fuel Level Sensor ""B"" Circuit Intermittent";;;;"Fuel Level Sensor ""B"" Circuit Intermittent___"
;;;;;___
P206A ;Reductant Quality Sensor Circuit;;;;Reductant Quality Sensor Circuit___
;;;;;___
P206B ;Reductant Quality Sensor Circuit Range/Performance;;;;Reductant Quality Sensor Circuit Range/Performance___
;;;;;___
P206C ;Reductant Quality Sensor Circuit Low;;;;Reductant Quality Sensor Circuit Low___
;;;;;___
P206D ;Reductant Quality Sensor Circuit High;;;;Reductant Quality Sensor Circuit High___
;;;;;___
P206E ;Intake Manifold Tuning (IMT) Valve Stuck Open Bank 2;;;;Intake Manifold Tuning (IMT) Valve Stuck Open Bank 2___
;;;;;___
P206F ;Intake Manifold Tuning (IMT) Valve Stuck Closed Bank 2;;;;Intake Manifold Tuning (IMT) Valve Stuck Closed Bank 2___
;;;;;___
P2070 ;Intake Manifold Tuning (IMT) Valve Stuck Open Bank 1;;;;Intake Manifold Tuning (IMT) Valve Stuck Open Bank 1___
;;;;;___
P2071 ;Intake Manifold Tuning (IMT) Valve Stuck Closed Bank 1;;;;Intake Manifold Tuning (IMT) Valve Stuck Closed Bank 1___
;;;;;___
P2072 ;Throttle Actuator Control System ;Ice Blockage;;;Throttle Actuator Control System _Ice Blockage__
;;;;;___
P2073 ;Manifold Absolute Pressure/Mass Air Flow ;Throttle Position Correlation at Idle;;;Manifold Absolute Pressure/Mass Air Flow _Throttle Position Correlation at Idle__
;;;;;___
P2074 ;Manifold Absolute Pressure/Mass Air Flow ;Throttle Position Correlation at Higher Load;;;Manifold Absolute Pressure/Mass Air Flow _Throttle Position Correlation at Higher Load__
;;;;;___
P2075 ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Bank 1;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Bank 1___
;;;;;___
P2076 ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Range/Performance Bank 1;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Range/Performance Bank 1___
;;;;;___
P2077 ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Low Bank 1;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Low Bank 1___
;;;;;___
P2078 ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit High Bank 1;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit High Bank 1___
;;;;;___
P2079 ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Intermittent Bank 1;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Intermittent Bank 1___
;;;;;___
P207A ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Bank 2;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Bank 2___
;;;;;___
P207B ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Range/Performance Bank 2;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Range/Performance Bank 2___
;;;;;___
P207C ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Low Bank 2;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Low Bank 2___
;;;;;___
P207D ;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit High Bank 2;;;;Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit High Bank 2___
;;;;;___
